"Timestamp","interaction source","interaction type","research need","successful interaction?","outcome","Number of people (if more than 1)","affiliation","Institutional affiliation if not UCB","Number of films/documents/items provided","interaction staff time","Date if not today"
"1/10/2020 12:44:15","email","Cinefiles/PDF Requests"," Doc ID: 52348;  Doc ID: 53354;  Doc ID: 42172",,,,"Non-UCB academic","texas a&m university",3,"5-10 min","1/7/2020"
"1/10/2020 12:45:42","email","Cinefiles/PDF Requests"," Doc ID: 53901;  Doc ID: 53891;  Doc ID: 53886;  Doc ID: 53893",,,,,,4,"5-10 min",
"1/10/2020 12:46:41","email","Cinefiles/PDF Requests"," Doc ID: 11038;  Doc ID: 27453",,,,"Non-UCB student","School of Visual Arts (NY)",2,"less than 5 min",
"1/14/2020 11:32:21","email","Cinefiles/PDF Requests"," Doc ID: 48632",,,,,,,"less than 5 min","1/13/2020"
"1/14/2020 11:33:18","email","Cinefiles/PDF Requests"," Doc ID: 56022;  Doc ID: 56254;  Doc ID: 56256;  Doc ID: 56259",,,,,,4,"5-10 min","1/11/2020"
"1/14/2020 11:34:21","email","Cinefiles/PDF Requests"," Doc ID: 7373;  Doc ID: 31551",,,,"Non-UCB student","manchester university",2,"less than 5 min","1/11/2020"
"1/14/2020 11:35:00","email","Cinefiles/PDF Requests"," Doc ID: 54287",,,,,,,"less than 5 min","1/12/2020"
"1/14/2020 11:35:25","email","Cinefiles/PDF Requests"," Doc ID: 32484",,,,,,,"less than 5 min","1/11/2020"
"1/14/2020 16:39:56","email","Cinefiles/PDF Requests"," Doc ID: 57124",,,,,,,"less than 5 min",
"1/15/2020 12:44:39","email","Screening reservation request","confirming screening details; theresa cha",,"confirmed cha is streaming",,"Company / Archive / Museum / Etc","whitney museum",,"less than 5 min",
"1/15/2020 12:45:06","email","Screening reservation request","tvtv tapes",,,,"BAMPFA staff",,,"less than 5 min",
"1/15/2020 12:54:49","email","Cinefiles/PDF Requests"," Doc ID: 7722",,,,,"bard university",,"less than 5 min",
"1/16/2020 13:57:58","walk in","Reference research","Lassie Come Home and dog films",,,,"Non-UCB academic","Univ of Beijing",,"over 30 min","1/15/2020"
"1/16/2020 13:58:29","walk in","Reference research","Hitchcock ",,,,"Non-UCB academic",,,"over 30 min","1/15/2020"
"1/16/2020 13:58:48","walk in","Curious/browsing",,,,,"Non-UCB student","Univ of Beijing",,"over 30 min",
"1/16/2020 13:59:27","walk in","Reference research","FIAF databases on silent film star Myrtle Lind",,,,"Writer/Independent Scholar",,,"over 30 min","1/15/2020"
"1/16/2020 13:59:59","walk in","Reference research","Elizabeth Taylor",,,,"Non-UCB student","Univ of Beijing",,"over 30 min","1/15/2020"
"1/16/2020 14:00:22","walk in","Plex","Experimental films",,,,"Non-UCB student","NYU",,"10-30 min","1/15/2020"
"1/16/2020 14:01:07","walk in","Reference research","Intro to film collection and how to find online",,,,"Filmmaker/Artist",,,"over 30 min",
"1/16/2020 14:01:30","walk in","Books/periodicals","COCO (Pixar)",,,,"UCB student",,,"10-30 min",
"1/16/2020 14:01:51","walk in","Reference research","Films made during or about WWII",,,,"UCB student",,,"10-30 min",
"1/16/2020 14:41:05","walk in","Books/periodicals","US animation / pixar",,"showed him books on animation and COCO",,"Local Resident",,,"5-10 min",
"1/16/2020 14:41:52","phone call","Duplication","wants to view and maybe license footage from SELF HEALTH  1612-01-15328  ",,"referred her to jon",,"Filmmaker/Artist",,,"5-10 min",
"1/16/2020 17:35:47","walk in","Plex","Animation history",,,,"Writer/Independent Scholar","Writer working on article on Ratatouille",,"10-30 min",
"1/16/2020 17:36:16","walk in","Screening","Theresa Cha",,,2,"Company / Archive / Museum / Etc","Whitney Museum curators",,"10-30 min",
"1/16/2020 17:36:54","walk in","Reference research","Iranian film",,,,"Non-UCB student","Academy of Art",5,"over 30 min",
"1/17/2020 14:18:47","walk in","Curious/browsing","how does it work",,,,"Local Resident",,,"less than 5 min",
"1/17/2020 14:19:27","walk in","Archival papers","tvtv",,"looked through tvtv correspondence",,"Filmmaker/Artist",,,"10-30 min",
"1/17/2020 15:03:16","phone call","Screening reservation request","wants to book theater 2 for class screening",,"she wants to start at 7, will have to ask facilities",,"UCB student",,,"5-10 min",
"1/17/2020 15:40:56","phone call","other","researcher that susan edwards was helping wants to use sojourner truth photo in exhibition",,"referred her to tracy",,"UCB staff",,,"less than 5 min",
"1/17/2020 16:01:14","walk in","Screening","mexican films",,"viewed some and will be back",,"Writer/Independent Scholar",,,"5-10 min",
"1/17/2020 16:01:55","walk in","Screening reservation request","mexican films",,"booked more screening times",,"Writer/Independent Scholar",,,"less than 5 min",
"1/17/2020 16:02:46","walk in","Screening","theresa cha films",,,2,"Company / Archive / Museum / Etc","Whitney Museum",,"5-10 min",
"1/17/2020 16:09:53","walk in","Archival papers","artkino collection",,,,"Company / Archive / Museum / Etc","dovzhenko archive",,"5-10 min",
"1/21/2020 16:36:44","email","Cinefiles/PDF Requests"," Doc ID: 52436",,,,,,,"less than 5 min",
"1/21/2020 16:37:13","email","Cinefiles/PDF Requests"," Doc ID: 7701",,,,"Non-UCB student","bard college",,"less than 5 min",
"1/21/2020 16:37:34","email","Cinefiles/PDF Requests"," Doc ID: 16062",,,,,,,"less than 5 min",
"1/21/2020 16:38:00","email","Cinefiles/PDF Requests"," Doc ID: 36179",,,,,,,"less than 5 min",
"1/21/2020 16:38:33","email","Cinefiles/PDF Requests"," Doc ID: 15963",,,,"Non-UCB academic","texas a&m university",,"less than 5 min",
"1/22/2020 14:37:43","email","Cinefiles/PDF Requests"," Doc ID: 20729",,,,"Non-UCB student","northern maine community college",,"less than 5 min",
"1/23/2020 11:25:09","email","Screening reservation request","theresa cha videos",,"stephanie referred them to us",,"Non-UCB academic","UC Riverside",,"less than 5 min",
"1/23/2020 12:13:32","email","Audio Recording","wants to use recordings for sound installation in downtown berkeley",,"told him again we don't have rights; he can make a fair use argument",,"Filmmaker/Artist",,,"less than 5 min",
"1/23/2020 13:36:09","email","Tour request","Tour for Chinese cinema class",,,,"UCB Faculty",,,"5-10 min",
"1/23/2020 13:36:44","email","Screening reservation request","Ukrainian films",,,,"Company / Archive / Museum / Etc",,,"10-30 min",
"1/23/2020 13:37:15","walk in","Screening","Mexican films - converted to plex",,,,"UCB Faculty",,,"10-30 min",
"1/23/2020 13:37:32","walk in","Reference research","Korean films",,,,"UCB student",,,"10-30 min",
"1/23/2020 13:41:42","email","Screening reservation request","Edith Kramer home videos",,,,"Writer/Independent Scholar",,,"10-30 min",
"1/23/2020 14:23:35","walk in","Screening","TVTV videos",,,,"BAMPFA staff",,,"10-30 min",
"1/23/2020 14:24:15","walk in","other","instructions on scanning slides",,,,"BAMPFA staff",,,"5-10 min",
"1/23/2020 14:53:03","walk in","Archival papers","artkino collection",,"stas is scanning papers",,"Company / Archive / Museum / Etc","dovzhenko archive",,"5-10 min",
"1/23/2020 15:55:22","walk in","other","wants to buy a reproduction of a chinese painting",,"he will contact julia white",,"Local Resident",,,"5-10 min",
"1/24/2020 13:34:51","walk in","Screening","edith kramer home movies",,"edith found the home movie she was looking for",,"Local Resident",,,"10-30 min","1/23/2020"
"1/24/2020 13:59:35","email","Reference research","Kinuyo Tanaka prints and sources for US tour",,,,"Company / Archive / Museum / Etc","Smithsonian Museum, Sackler Gallery",,"over 30 min",
"1/24/2020 14:00:23","email","Reference research","Prints and sources for Nobuhiro Obayashi series",,,,"Company / Archive / Museum / Etc","Matchbox Cinema and Glasgow Short Film Festival",,"over 30 min",
"1/24/2020 14:09:32","email","Screening reservation request","Interested in which Agnes Varda films were available here",,,,"Non-UCB academic","Berkeley City College",,"10-30 min",
"1/24/2020 14:48:02","email","Screening reservation request","Screening of multiple time-lapse films in collection",,,,"Filmmaker/Artist","Independent composer/filmmaker duo",5,"over 30 min",
"1/24/2020 14:53:33","email","Stills","Stills request from SF Silent Film Festival",,,,"Company / Archive / Museum / Etc","SF Silent Film Festival",29,"over 30 min","1/23/2020"
"1/24/2020 15:33:40","phone call","Screening reservation request","Sidney Peterson and dance films screening request",,,,"Writer/Independent Scholar","Independent scholar on dance films",3,"10-30 min",
"1/24/2020 15:48:44","phone call","Reference research","Information on Esther Eng, Chinese American film history in Bay Area, and also Dorothy Arzner",,,,"Company / Archive / Museum / Etc","Independent production company working on doc on Esther Eng, Arzner, and Zora Neale Huston for Canadian production companies",3,"over 30 min",
"1/24/2020 16:57:08","walk in","Curious/browsing",,,,3,"UCB student",,,"5-10 min",
"1/24/2020 16:57:42","walk in","Reference research","French cinema",,,,"UCB student",,,"less than 5 min",
"1/27/2020 11:54:24","email","Reference research","Nobuhiko Obayashi Series - print collection followup",,,,"Company / Archive / Museum / Etc","Matchbox Cinema (Glasgow) and Glasgow Film Festival",,"over 30 min",
"1/27/2020 11:55:03","email","General info (hours/location/etc)","Inquiry on email contacts",,,,"BAMPFA staff",,,"10-30 min",
"1/27/2020 11:55:41","email","Books/periodicals","Donation of film journals inquiry",,,,"Local Resident",,,"10-30 min",
"1/27/2020 11:56:19","email","Stills","Silent FF stils request follow-up and sending",,,,"Company / Archive / Museum / Etc","Silent Film Festival SF",9,"over 30 min",
"1/27/2020 14:54:10","email","Cinefiles/PDF Requests"," Doc ID: 7049",,,,,,,"less than 5 min",
"1/28/2020 10:07:21","email","Cinefiles/PDF Requests"," Doc ID: 53232;  Doc ID: 53233",,,,,,2,"less than 5 min",
"1/28/2020 10:07:34","email","Cinefiles/PDF Requests"," Doc ID: 46468",,,,,,,"less than 5 min",
"1/28/2020 10:07:54","email","Cinefiles/PDF Requests"," Doc ID: 38654",,,,,,,"less than 5 min",
"1/28/2020 13:18:57","email","other","lisa was fielding a request from Documenta about using a recorded lecture about Forrest Bess",,"they already had the media, Jon provided a sample loan form for them to sign",,"BAMPFA staff",,,"10-30 min",
"1/28/2020 13:45:15","phone call","Reference research","wants to know what color strawberries were in the 13th century (?)",,"annie asked her to call back during reference hours",,,,,"less than 5 min",
"1/28/2020 16:29:49","email","other","suggesting annual top-10 lists for cinefiles",,"said thanks",,"Local Resident",,,"less than 5 min","1/25/2020"
"1/30/2020 13:11:46","walk in","Study/computer use",,,,,"UCB student",,,"less than 5 min",
"1/30/2020 13:38:23","walk in","Screening reservation request","interested in screening satyajit ray films",,"gave her jason's contact",,"Local Resident",,,"5-10 min",
"1/30/2020 13:38:55","walk in","Screening reservation request","wanted to view the man in the attic",,"did not find file for him to view",,"Local Resident",,,"5-10 min",
"1/30/2020 13:43:36","email","Books/periodicals","wanted to check out a book that is also at main",,"referred him to main",,"Local Resident",,,"less than 5 min",
"1/30/2020 13:54:24","email","Cinefiles/PDF Requests"," Doc ID: 53225",,,,,,,"less than 5 min",
"1/30/2020 15:02:03","email","Cinefiles/PDF Requests"," Doc ID: 22117",,,,,,,"less than 5 min",
"1/30/2020 15:03:14","walk in","Screening","tvtv",,,,"BAMPFA staff",,,"10-30 min",
"1/30/2020 15:03:37","walk in","Books/periodicals","mexican cinema",,,,"Non-UCB academic",,,"5-10 min",
"1/30/2020 15:03:58","walk in","Screening","mexican cinema",,,,"Non-UCB academic",,,"5-10 min",
"1/30/2020 15:04:12","walk in","Study/computer use",,,,,"UCB student",,,"less than 5 min",
"1/30/2020 16:46:21","email","Cinefiles/PDF Requests"," Doc ID: 25484",,,,"Non-UCB student","seattle university",,"less than 5 min",
"1/30/2020 16:46:50","walk in","Curious/browsing",,,,2,"Local Resident",,,"less than 5 min",
"1/30/2020 16:47:22","walk in","Plex","wanted to kill time",,"played Garlic is as Good as Ten Mothers",,"Local Resident",,,"5-10 min",
"1/31/2020 14:13:48","walk in","Reference research","film noir",,,,"Writer/Independent Scholar","Film noir scholar from Australia",,"10-30 min",
"1/31/2020 14:14:24","email","Reference research","Japanese downtown Tokyo film series for Film Forum - prints in our collection",,,,"Company / Archive / Museum / Etc",,13,"over 30 min",
"1/31/2020 14:14:55","walk in","Books/periodicals","Amorous History of Chinese Cinema",,,,"UCB student",,,"10-30 min",
"1/31/2020 17:04:16","walk in","Reference research","British films",,,,"Non-UCB student",,,"10-30 min",
"2/2/2020 7:35:25","walk in","Event","preservation petting zoo","Yes",,37,,,,"over 30 min","2/1/2020"
"2/5/2020 14:58:19","email","Cinefiles/PDF Requests"," Doc ID: 17792",,,,,,,"less than 5 min","2/4/2020"
"2/5/2020 14:58:49","email","Cinefiles/PDF Requests"," Doc ID: 57545",,,,,"spain",,"less than 5 min","2/4/2020"
"2/5/2020 14:59:41","email","Cinefiles/PDF Requests"," Doc ID: 26712;  Doc ID: 54076",,,,"Non-UCB academic","university of san francisco",,"5-10 min","2/4/2020"
"2/5/2020 15:00:08","email","Cinefiles/PDF Requests"," Doc ID: 54076",,,,,,,"less than 5 min",
"2/5/2020 15:01:13","email","Cinefiles/PDF Requests"," Doc ID: 38427",,,,"Non-UCB student","georgia military college",,"less than 5 min","2/1/2020"
"2/5/2020 15:01:42","email","Cinefiles/PDF Requests"," Doc ID: 48632",,,,,,,"less than 5 min","2/1/2020"
"2/5/2020 15:02:12","email","Cinefiles/PDF Requests"," Doc ID: 58366",,,,,,,"less than 5 min","2/1/2020"
"2/5/2020 15:02:42","email","Cinefiles/PDF Requests"," Doc ID: 12216",,,,"Non-UCB student","seattle university",,"less than 5 min","2/1/2020"
"2/5/2020 15:03:10","email","Cinefiles/PDF Requests"," Doc ID: 26196",,,,"Non-UCB student","goddard university",,"less than 5 min","2/1/2020"
"2/5/2020 15:03:36","email","Cinefiles/PDF Requests"," Doc ID: 2608",,,,,,,"less than 5 min","2/1/2020"
"2/5/2020 15:04:34","email","other","asked if cinefiles pdfs will really be emailed",,"told him he will get the pdfs soon",,"Out-of-area visitors","spain",,"less than 5 min",
"2/6/2020 10:57:57","email","Screening reservation request","Theresa Cha",,,2,"Writer/Independent Scholar",,,"over 30 min",
"2/6/2020 10:58:32","email","Screening reservation request","Beat-era films",,,,"Non-UCB academic","SFAI",,"10-30 min",
"2/6/2020 10:59:47","email","Reference research","Italian silent films",,,,"Writer/Independent Scholar",,,"over 30 min",
"2/6/2020 15:06:51","walk in","Books/periodicals","soviet georgian film",,,,"BAMPFA member",,,"10-30 min",
"2/6/2020 15:07:25","walk in","Books/periodicals","animation",,,2,"Local Resident",,,"less than 5 min",
"2/6/2020 15:07:53","walk in","Books/periodicals","amorous history of the silver screen",,,,"UCB student",,,"less than 5 min",
"2/6/2020 15:08:09","walk in","Plex",,,,,"Local Resident",,,"5-10 min",
"2/6/2020 15:08:44","walk in","Screening","tvtv",,,,"BAMPFA staff",,,"10-30 min",
"2/6/2020 16:32:11","walk in","Curious/browsing","gave him a tour and showed him film collection in catalog",,,,"Local Resident",,,"5-10 min",
"2/7/2020 7:33:10","email","Donation","wants to donate open reel audio of interviews and photos from Herbert Feinstein",,"asked her to confirm what has already been digitized",,"Local Resident",,,"10-30 min","2/3/2020"
"2/7/2020 14:52:32","walk in","Screening","Viewing 1953 noir MAN IN THE ATTIC off of youtube (patron does not have internet)",,,,"Local Resident",,,"5-10 min",
"2/7/2020 14:52:54","walk in","Screening","Sidney Peterson films",,,,"Non-UCB academic","SFSU",,"10-30 min",
"2/7/2020 14:53:23","walk in","Screening","Theresa Cha films",,,2,"Writer/Independent Scholar",,,"10-30 min",
"2/7/2020 14:54:00","email","Reference research","Works on Ernie Gehr and possible audio?",,,,"Writer/Independent Scholar","NYC-based freelance jounalist working on Gehr book",,"over 30 min",
"2/7/2020 14:56:52","walk in","Reference research","FIAF Treasures Database - looking for various silent films",,,,"Writer/Independent Scholar","Freelance author",,"10-30 min",
"2/7/2020 15:04:07","email","Screening reservation request","Grad student wants to view T2 ahead of class screening.",,,,"UCB student",,,"less than 5 min",
"2/10/2020 10:55:11","email","Duplication","wants to know where she can transfer umatic tapes of italian tv",,"referred her to bavc",,,,,"5-10 min",
"2/10/2020 10:57:26","walk in","Screening reservation request","grad student wanted to see t2 ahead of screening",,"asked her to show something from the collection, showed her theresa cha on plex",,"UCB student",,,"10-30 min","2/7/2020"
"2/10/2020 11:39:24","email","Reference research","Information/films/stills on filmmaker Esther Eng (request #2)",,,,"Filmmaker/Artist","Monday Cinema, group working on limited series on Eng's life (unattached to earlier Eng project and inquiry)",,"over 30 min",
"2/10/2020 13:13:07","email","Cinefiles/PDF Requests"," Doc ID: 49455",,,,"Non-UCB student","uc santa barbara",,"5-10 min",
"2/10/2020 13:14:26","email","Cinefiles/PDF Requests"," Doc ID: 57337;  Doc ID: 57893;  Doc ID: 57348",,,,"Non-UCB student","CUNY",,"5-10 min","2/9/2020"
"2/10/2020 13:14:59","email","Cinefiles/PDF Requests"," Doc ID: 47428",,,,,,,"less than 5 min","2/8/2020"
"2/10/2020 13:24:31","email","Cinefiles/PDF Requests"," Doc ID: 99",,,,,,,"less than 5 min",
"2/10/2020 15:39:03","email","Plex","Creating playlists on Plex for Out of the Vault series",,,,"BAMPFA staff",,,"over 30 min",
"2/10/2020 15:39:41","email","Reference research","Experimental video work",,,,"Non-UCB academic","Tulane Univ",,"over 30 min",
"2/11/2020 11:09:00","email","Donation","Wants to donate film cans",,"asked jon about it, he says we can take them",,"Local Resident",,,"5-10 min","2/10/2020"
"2/11/2020 16:24:54","email","Screening reservation request","changing booking ",,"changed booking from 2/12 to 2/19",,"UCB student",,,"less than 5 min",
"2/12/2020 13:22:02","email","Screening reservation request","Luis Osorno and Mexican travelogues",,,,"Writer/Independent Scholar","Filmmakers' family",7,"over 30 min",
"2/12/2020 13:22:32","walk in","Books/periodicals","Interest in Italian films",,,,"BAMPFA member",,3,"10-30 min",
"2/12/2020 13:29:01","walk in","Reference research","Star Wars book and booklet",,,,"Local Resident",,,"5-10 min",
"2/12/2020 15:08:28","email","Tour","Archival Class tour ",,,,"UCB Faculty",,,"over 30 min",
"2/12/2020 15:38:28","walk in","Plex","Interested in what is available digitally",,,,"UCB student",,3,"10-30 min",
"2/13/2020 13:10:12","email","Archival papers","Allen Francovich materials - interested in researching",,,,"Filmmaker/Artist",,,"over 30 min",
"2/13/2020 13:10:54","email","Screening reservation request","Chinese/PRC historical newsreels",,,,"UCB Faculty",,7,"over 30 min",
"2/13/2020 13:27:16","email","Reference research","Films on protest movements in India",,,,"Writer/Independent Scholar","Doc filmmaker in London",,"over 30 min",
"2/13/2020 13:41:29","email","Screening reservation request","Propaganda films for summer gathering of teachers",,,,"UCB staff","Office of Resources for International and Area Studies (ORIAS)",,"over 30 min",
"2/13/2020 13:45:58","walk in","Plex","ANIMATION",,,,"Non-UCB student","UC Santa Cruz",3,"5-10 min",
"2/13/2020 14:25:41","walk in","Plex","VIsitors interested in what we have - wound up watching Beat-era films on Plex",,,,"Non-UCB academic","Univ. of Arizona retired professors",6,"10-30 min",
"2/13/2020 16:43:55","walk in","Study/computer use",,,,,"UCB student",,,"less than 5 min",
"2/13/2020 22:03:53","walk in","Curious/browsing","interested in what we have",,"showed him plex, he looked at the coppola godfather collection",,"BAMPFA member",,,"5-10 min",
"2/13/2020 22:04:22","walk in","Screening","tvtv",,,,"BAMPFA staff",,,"5-10 min",
"2/13/2020 22:07:44","email","Cinefiles/PDF Requests"," Doc ID: 32544;  Doc ID: 32550;  Doc ID: 54553;  Doc ID: 32556;  Doc ID: 39381;  Doc ID: 53469;  Doc ID: 56267;  Doc ID: 57045; ",,,,,,8,"10-30 min",
"2/13/2020 22:08:10","email","Cinefiles/PDF Requests"," Doc ID: 35985",,,,,,,"less than 5 min",
"2/13/2020 22:09:03","email","Cinefiles/PDF Requests"," Doc ID: 56498",,,,,,,"less than 5 min",
"2/13/2020 22:09:26","email","Cinefiles/PDF Requests"," Doc ID: 16856",,,,,,,"less than 5 min",
"2/13/2020 22:10:00","email","Cinefiles/PDF Requests"," Doc ID: 42539",,,,"Non-UCB student","st andrews university UK",,"less than 5 min",
"2/14/2020 14:55:18","email","Cinefiles/PDF Requests"," Doc ID: 26194",,,,,,,"less than 5 min",
"2/14/2020 14:55:46","email","Cinefiles/PDF Requests"," Doc ID: 52763",,,,,,,"less than 5 min",
"2/14/2020 14:56:14","email","Cinefiles/PDF Requests"," Doc ID: 20729",,,,,"university of southern california",,"less than 5 min",
"2/14/2020 14:56:30","email","Cinefiles/PDF Requests"," Doc ID: 49342",,,,,,,"less than 5 min",
"2/14/2020 15:58:51","walk in","Curious/browsing","Italian films",,,3,"Out-of-area visitors",,3,"10-30 min",
"2/14/2020 15:59:41","email","Reference research","Christianity across the world",,,,"Company / Archive / Museum / Etc","Production company from Denver",,"over 30 min",
"2/16/2020 16:51:23","walk in","Books/periodicals","documentary films",,,,"BAMPFA staff",,,"5-10 min","2/14/2020"
"2/19/2020 14:55:26","walk in","Plex","Japanese films and Ozu titles in particular",,,,"UCB student","Film buff in science field at UCB",,"10-30 min",
"2/19/2020 14:55:47","walk in","Reference research","Fellini books",,,,"BAMPFA member",,6,"over 30 min",
"2/19/2020 14:57:06","walk in","Books/periodicals","Chinese film books",,,,"UCB student",,3,"10-30 min",
"2/19/2020 14:57:41","walk in","Curious/browsing","Interested in viewing titles on Plex - will return",,,,"Non-UCB student","Santa Rosa CC visiting student",,"10-30 min",
"2/19/2020 14:58:29","email","Reference research","Muhammad Ali Baddest Daddy in world use request",,,,"Company / Archive / Museum / Etc","Production company working with Ken Burns",,"10-30 min",
"2/19/2020 14:59:12","email","Screening reservation request","Chinese newsreels and propaganda titles",,,,"UCB Faculty",,,"10-30 min",
"2/19/2020 15:44:15","email","Screening reservation request","Theater rental inquiry for small group (digitized title)",,,,"Local Resident",,,"10-30 min",
"2/19/2020 16:51:48","email","Reference research","Looking for Mizoguchi title seen in the early 1980s",,,,"Local Resident","UCB alumni",,"10-30 min",
"2/20/2020 12:44:12","email","Cinefiles/PDF Requests"," Doc ID: 25267",,,,,,,"less than 5 min",
"2/20/2020 12:45:42","email","Cinefiles/PDF Requests"," Doc ID: 100;  Doc ID: 97;  Doc ID: 94;  Doc ID: 102",,,,,,4,"5-10 min","2/16/2020"
